Time,Backend,GPU_ID,VRAM_MB,Power_W,GPU_Util
1781843017.97,ROCM_SMI,GPU_0,0.0,46.0,0.0
1781843017.97,ROCM_SMI,GPU_1,0.0,44.0,0.0
1781843017.97,ROCM_SMI,GPU_2,0.0,48.0,0.0
1781843017.97,ROCM_SMI,GPU_3,0.0,51.0,0.0
1781843017.97,ROCM_SMI,GPU_4,0.0,46.0,0.0
1781843017.97,ROCM_SMI,GPU_5,0.0,51.0,0.0
1781843017.97,ROCM_SMI,GPU_6,0.0,46.0,0.0
1781843017.97,ROCM_SMI,GPU_7,0.0,50.0,0.0
1781843020.16,ROCM_SMI,GPU_0,1474.1,139.0,100.0
1781843020.16,ROCM_SMI,GPU_1,1474.1,134.0,100.0
1781843020.16,ROCM_SMI,GPU_2,1474.1,139.0,85.0
1781843020.16,ROCM_SMI,GPU_3,1474.1,141.0,100.0
1781843020.16,ROCM_SMI,GPU_4,1474.1,142.0,100.0
1781843020.16,ROCM_SMI,GPU_5,1474.1,137.0,100.0
1781843020.16,ROCM_SMI,GPU_6,1474.1,135.0,100.0
1781843020.16,ROCM_SMI,GPU_7,1474.1,135.0,100.0
1781843022.35,ROCM_SMI,GPU_0,1474.1,145.0,100.0
1781843022.35,ROCM_SMI,GPU_1,1474.1,138.0,100.0
1781843022.35,ROCM_SMI,GPU_2,1474.1,141.0,100.0
1781843022.35,ROCM_SMI,GPU_3,1474.1,141.0,100.0
1781843022.35,ROCM_SMI,GPU_4,1474.1,138.0,100.0
1781843022.35,ROCM_SMI,GPU_5,1474.1,133.0,100.0
1781843022.35,ROCM_SMI,GPU_6,1474.1,137.0,100.0
1781843022.35,ROCM_SMI,GPU_7,1474.1,132.0,31.0
1781843024.54,ROCM_SMI,GPU_0,1474.1,140.0,100.0
1781843024.54,ROCM_SMI,GPU_1,1474.1,136.0,86.0
1781843024.54,ROCM_SMI,GPU_2,1474.1,137.0,100.0
1781843024.54,ROCM_SMI,GPU_3,1474.1,144.0,100.0
1781843024.54,ROCM_SMI,GPU_4,1474.1,140.0,100.0
1781843024.54,ROCM_SMI,GPU_5,1474.1,139.0,100.0
1781843024.54,ROCM_SMI,GPU_6,1474.1,136.0,100.0
1781843024.54,ROCM_SMI,GPU_7,1474.1,137.0,100.0
1781843026.73,ROCM_SMI,GPU_0,1474.1,144.0,100.0
1781843026.73,ROCM_SMI,GPU_1,1474.1,137.0,100.0
1781843026.73,ROCM_SMI,GPU_2,1474.1,143.0,100.0
1781843026.73,ROCM_SMI,GPU_3,1474.1,143.0,100.0
1781843026.73,ROCM_SMI,GPU_4,1474.1,140.0,94.0
1781843026.73,ROCM_SMI,GPU_5,1474.1,134.0,89.0
1781843026.73,ROCM_SMI,GPU_6,1474.1,137.0,100.0
1781843026.73,ROCM_SMI,GPU_7,1474.1,135.0,100.0
1781843028.92,ROCM_SMI,GPU_0,1474.1,143.0,100.0
1781843028.92,ROCM_SMI,GPU_1,1474.1,136.0,100.0
1781843028.92,ROCM_SMI,GPU_2,1474.1,136.0,100.0
1781843028.92,ROCM_SMI,GPU_3,1474.1,141.0,100.0
1781843028.92,ROCM_SMI,GPU_4,1474.1,136.0,100.0
1781843028.92,ROCM_SMI,GPU_5,1474.1,137.0,100.0
1781843028.92,ROCM_SMI,GPU_6,1474.1,141.0,100.0
1781843028.92,ROCM_SMI,GPU_7,1474.1,135.0,100.0
1781843031.12,ROCM_SMI,GPU_0,1474.1,141.0,100.0
1781843031.12,ROCM_SMI,GPU_1,1474.1,136.0,100.0
1781843031.12,ROCM_SMI,GPU_2,1474.1,144.0,100.0
1781843031.12,ROCM_SMI,GPU_3,1474.1,143.0,100.0
1781843031.12,ROCM_SMI,GPU_4,1474.1,141.0,100.0
1781843031.12,ROCM_SMI,GPU_5,1474.1,136.0,100.0
1781843031.12,ROCM_SMI,GPU_6,1474.1,137.0,100.0
1781843031.12,ROCM_SMI,GPU_7,1474.1,136.0,100.0
1781843033.32,ROCM_SMI,GPU_0,1474.1,147.0,100.0
1781843033.32,ROCM_SMI,GPU_1,1474.1,140.0,100.0
