Epoch, PDE_Loss, BC_Loss
0.000000000000000000e+00 1.751615387853235006e+00 3.503965556621551514e+00
1.000000000000000000e+02 4.449159139767289162e-02 3.067749290494248271e-03
2.000000000000000000e+02 8.126783068291842937e-03 6.054273981135338545e-04
3.000000000000000000e+02 3.064990066923201084e-02 2.617534541059285402e-03
4.000000000000000000e+02 1.817071833647787571e-02 2.140533513738773763e-03
5.000000000000000000e+02 3.279153723269701004e-03 6.609466508962213993e-04
6.000000000000000000e+02 2.423793732305057347e-03 3.078501558775315061e-04
7.000000000000000000e+02 1.724720618221908808e-02 5.153235077159479260e-03
8.000000000000000000e+02 9.097882939386181533e-04 7.641781485290266573e-05
9.000000000000000000e+02 5.420066416263580322e-03 8.938871105783618987e-04
1.000000000000000000e+03 8.822846924886107445e-03 2.603393586468882859e-03
1.100000000000000000e+03 1.073564882972277701e-03 9.391843514094944112e-05
1.200000000000000000e+03 1.090705842943862081e-02 2.516138767532538623e-03
1.300000000000000000e+03 3.276268267654813826e-03 8.409146266785683110e-04
1.400000000000000000e+03 2.360130762099288404e-03 2.500661721569485962e-04
1.500000000000000000e+03 3.668422214104793966e-03 1.904061418827041052e-04
1.600000000000000000e+03 7.416604676109272987e-04 4.767622431245399639e-05
1.700000000000000000e+03 1.046352752018719912e-02 3.939672104024793953e-03
1.800000000000000000e+03 9.137397748418152332e-03 5.343090597307309508e-04
1.900000000000000000e+03 4.821840033400803804e-03 4.150436816416913643e-04
2.000000000000000000e+03 2.349856367800384760e-03 6.045630143489688635e-04
2.100000000000000000e+03 2.455682493746280670e-03 1.586673215570044704e-04
2.200000000000000000e+03 3.324101387988775969e-03 9.063949582923669368e-04
2.300000000000000000e+03 1.438967192370910197e-03 4.617418517227633856e-05
2.400000000000000000e+03 1.380603614961728454e-03 1.262516670976765454e-04
