Epoch, PDE_Loss, BC_Loss
0.000000000000000000e+00 2.096678972244262695e+00 2.953742027282714844e+00
1.000000000000000000e+02 1.494473338127136230e+00 1.527979373931884766e+00
2.000000000000000000e+02 1.757055044174194336e+00 1.193197369575500488e+00
3.000000000000000000e+02 1.436941623687744141e+00 1.005990028381347656e+00
4.000000000000000000e+02 8.986284136772155762e-01 1.749542653560638428e-01
5.000000000000000000e+02 1.455427706241607666e-01 1.183857489377260208e-02
6.000000000000000000e+02 8.970333635807037354e-02 6.244356743991374969e-03
7.000000000000000000e+02 6.472221761941909790e-02 4.246458876878023148e-03
8.000000000000000000e+02 5.110277980566024780e-02 3.271049354225397110e-03
9.000000000000000000e+02 5.184690654277801514e-02 4.940234124660491943e-03
1.000000000000000000e+03 3.675781190395355225e-02 2.385865198448300362e-03
1.100000000000000000e+03 4.125363752245903015e-02 4.334225784987211227e-03
1.200000000000000000e+03 3.109620139002799988e-02 2.194220200181007385e-03
1.300000000000000000e+03 2.661272883415222168e-02 1.684716437011957169e-03
1.400000000000000000e+03 2.483328618109226227e-02 1.558917923830449581e-03
1.500000000000000000e+03 2.242347411811351776e-02 1.414171070791780949e-03
1.600000000000000000e+03 2.027198858559131622e-02 1.187496003694832325e-03
1.700000000000000000e+03 1.841885410249233246e-02 1.044186763465404510e-03
1.800000000000000000e+03 1.642284914851188660e-02 9.236849728040397167e-04
1.900000000000000000e+03 1.478772982954978943e-02 7.961558876559138298e-04
2.000000000000000000e+03 1.329027116298675537e-02 6.811930797994136810e-04
2.100000000000000000e+03 1.184873003512620926e-02 5.835244664922356606e-04
2.200000000000000000e+03 1.105208694934844971e-02 6.429864442907273769e-04
2.300000000000000000e+03 9.491099044680595398e-03 4.358423757366836071e-04
2.400000000000000000e+03 2.793215028941631317e-02 4.297612700611352921e-03
2.500000000000000000e+03 7.205139379948377609e-03 3.154057194478809834e-04
2.600000000000000000e+03 7.145232986658811569e-03 3.862990415655076504e-04
2.700000000000000000e+03 2.104277163743972778e-02 2.745542442426085472e-03
2.800000000000000000e+03 5.235247313976287842e-03 2.224989293608814478e-04
2.900000000000000000e+03 7.066523190587759018e-03 7.115741609595716000e-04
3.000000000000000000e+03 4.181128460913896561e-03 1.598892413312569261e-04
3.100000000000000000e+03 3.837374038994312286e-03 1.470906572649255395e-04
3.200000000000000000e+03 3.557573305442929268e-03 1.359460293315351009e-04
3.300000000000000000e+03 3.413288854062557220e-03 1.179598184535279870e-04
3.400000000000000000e+03 2.990957349538803101e-03 1.030924831866286695e-04
3.500000000000000000e+03 7.330766413360834122e-03 8.144450839608907700e-04
3.600000000000000000e+03 2.579458523541688919e-03 8.636867278255522251e-05
3.700000000000000000e+03 2.458909992128610611e-03 7.836515578674152493e-05
3.800000000000000000e+03 4.404936451464891434e-03 7.587688160128891468e-04
3.900000000000000000e+03 2.115553244948387146e-03 6.733001646352931857e-05
4.000000000000000000e+03 2.057129051536321640e-03 6.592853605980053544e-05
4.100000000000000000e+03 2.144756261259317398e-03 9.157459862763062119e-05
4.200000000000000000e+03 3.382924199104309082e-02 5.268372129648923874e-03
4.300000000000000000e+03 1.694841543212532997e-03 5.150723882252350450e-05
4.400000000000000000e+03 1.848938525654375553e-03 9.558328747516497970e-05
4.500000000000000000e+03 1.556327100843191147e-03 4.624050052370876074e-05
