Time,Backend,GPU_ID,VRAM_MB,Power_W,GPU_Util
1781338580.63,ROCM_SMI,GPU_1,0.0,25.0,0.0
1781338582.82,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338585.01,ROCM_SMI,GPU_1,491.4,76.0,98.0
1781338587.20,ROCM_SMI,GPU_1,491.4,77.0,99.0
1781338589.39,ROCM_SMI,GPU_1,491.4,76.0,99.0
1781338591.58,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338593.77,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338595.96,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338598.15,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338600.33,ROCM_SMI,GPU_1,491.4,77.0,98.0
1781338602.52,ROCM_SMI,GPU_1,491.4,77.0,98.0
1781338604.71,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338606.90,ROCM_SMI,GPU_1,491.4,77.0,99.0
1781338609.09,ROCM_SMI,GPU_1,491.4,77.0,98.0
1781338611.28,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338613.47,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338615.66,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338617.85,ROCM_SMI,GPU_1,491.4,77.0,100.0
1781338620.03,ROCM_SMI,GPU_1,491.4,78.0,99.0
1781338622.22,ROCM_SMI,GPU_1,491.4,78.0,98.0
1781338624.42,ROCM_SMI,GPU_1,491.4,77.0,99.0
1781338626.60,ROCM_SMI,GPU_1,491.4,91.0,100.0
1781338628.79,ROCM_SMI,GPU_1,491.4,93.0,100.0
1781338630.98,ROCM_SMI,GPU_1,491.4,93.0,100.0
1781338633.17,ROCM_SMI,GPU_1,491.4,93.0,100.0
1781338635.36,ROCM_SMI,GPU_1,491.4,93.0,100.0
1781338637.55,ROCM_SMI,GPU_1,491.4,93.0,100.0
1781338639.73,ROCM_SMI,GPU_1,491.4,93.0,100.0
1781338641.92,ROCM_SMI,GPU_1,491.4,93.0,100.0
1781338644.11,ROCM_SMI,GPU_1,491.4,93.0,98.0
1781338646.30,ROCM_SMI,GPU_1,491.4,93.0,99.0
1781338648.49,ROCM_SMI,GPU_1,491.4,93.0,98.0
1781338650.68,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338652.86,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338655.05,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338657.24,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338659.43,ROCM_SMI,GPU_1,491.4,93.0,99.0
1781338661.62,ROCM_SMI,GPU_1,491.4,94.0,98.0
1781338663.81,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338666.00,ROCM_SMI,GPU_1,491.4,94.0,98.0
1781338668.19,ROCM_SMI,GPU_1,491.4,94.0,99.0
1781338670.37,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338672.56,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338674.75,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338676.94,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338679.13,ROCM_SMI,GPU_1,491.4,94.0,98.0
1781338681.32,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338683.50,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338685.70,ROCM_SMI,GPU_1,491.4,94.0,99.0
1781338687.89,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338690.08,ROCM_SMI,GPU_1,491.4,93.0,98.0
1781338692.27,ROCM_SMI,GPU_1,491.4,92.0,99.0
1781338694.46,ROCM_SMI,GPU_1,491.4,94.0,99.0
1781338696.65,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338698.84,ROCM_SMI,GPU_1,491.4,94.0,100.0
1781338701.03,ROCM_SMI,GPU_1,491.4,94.0,98.0
1781338703.21,ROCM_SMI,GPU_1,491.4,94.0,100.0
